material_id,formula,cif_path,atomic_numbers,electronegativity,group,period,atomic_radius,formation_energy
mp-1097222,SrScTl2,dataset/cif_files/mp-1097222.cif,"[38, 21, 81, 81]","[0.95, 1.36, 1.62, 1.62]","[2, 3, 13, 13]","[5, 4, 6, 6]","[2.0, 1.6, 1.9, 1.9]",1.427840508
mp-31281,SrSnAu,dataset/cif_files/mp-31281.cif,"[38, 50, 79]","[0.95, 1.96, 2.54]","[2, 14, 11]","[5, 5, 6]","[2.0, 1.45, 1.35]",-0.740117963
mp-1019259,SrSnHg,dataset/cif_files/mp-1019259.cif,"[38, 50, 80]","[0.95, 1.96, 2]","[2, 14, 12]","[5, 5, 6]","[2.0, 1.45, 1.5]",-0.548813183
mp-1097383,SrSnHg2,dataset/cif_files/mp-1097383.cif,"[38, 50, 80, 80]","[0.95, 1.96, 2, 2]","[2, 14, 12, 12]","[5, 5, 6, 6]","[2.0, 1.45, 1.5, 1.5]",0.869868547
mp-20001,SrSnPt,dataset/cif_files/mp-20001.cif,"[38, 50, 78]","[0.95, 1.96, 2.28]","[2, 14, 10]","[5, 5, 6]","[2.0, 1.45, 1.35]",-0.853353862
mp-631358,SrTa2Mn,dataset/cif_files/mp-631358.cif,"[38, 73, 73, 25]","[0.95, 1.5, 1.5, 1.55]","[2, 5, 5, 7]","[5, 6, 6, 4]","[2.0, 1.45, 1.45, 1.4]",1.167627443
mp-1186765,SrTl2Cd,dataset/cif_files/mp-1186765.cif,"[38, 81, 81, 48]","[0.95, 1.62, 1.62, 1.69]","[2, 13, 13, 12]","[5, 6, 6, 5]","[2.0, 1.9, 1.9, 1.55]",-0.248324067
mp-1097330,SrTl2In,dataset/cif_files/mp-1097330.cif,"[38, 81, 81, 49]","[0.95, 1.62, 1.62, 1.78]","[2, 13, 13, 13]","[5, 6, 6, 5]","[2.0, 1.9, 1.9, 1.55]",1.079222877
mp-1079862,SrTl2Pd,dataset/cif_files/mp-1079862.cif,"[38, 81, 81, 46]","[0.95, 1.62, 1.62, 2.2]","[2, 13, 13, 10]","[5, 6, 6, 5]","[2.0, 1.9, 1.9, 1.4]",-0.434664682
mp-1206544,SrTl2Pt,dataset/cif_files/mp-1206544.cif,"[38, 81, 81, 78]","[0.95, 1.62, 1.62, 2.28]","[2, 13, 13, 10]","[5, 6, 6, 6]","[2.0, 1.9, 1.9, 1.35]",-0.530367687
mp-981311,SrTlHg2,dataset/cif_files/mp-981311.cif,"[38, 81, 80, 80]","[0.95, 1.62, 2, 2]","[2, 13, 12, 12]","[5, 6, 6, 6]","[2.0, 1.9, 1.5, 1.5]",-0.376095352
mp-1097475,Sr2AgBi,dataset/cif_files/mp-1097475.cif,"[38, 38, 47, 83]","[0.95, 0.95, 1.93, 2.02]","[2, 2, 11, 15]","[5, 5, 5, 6]","[2.0, 2.0, 1.6, 1.6]",0.684280261
mp-1095988,Sr2AgHg,dataset/cif_files/mp-1095988.cif,"[38, 38, 47, 80]","[0.95, 0.95, 1.93, 2]","[2, 2, 11, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.6, 1.5]",0.845680779
mp-1093664,Sr2AgPb,dataset/cif_files/mp-1093664.cif,"[38, 38, 47, 82]","[0.95, 0.95, 1.93, 2.33]","[2, 2, 11, 14]","[5, 5, 5, 6]","[2.0, 2.0, 1.6, 1.8]",0.935672948
mp-1093561,Sr2AgPd,dataset/cif_files/mp-1093561.cif,"[38, 38, 47, 46]","[0.95, 0.95, 1.93, 2.2]","[2, 2, 11, 10]","[5, 5, 5, 5]","[2.0, 2.0, 1.6, 1.4]",0.866641442
mp-867163,Sr2AgPt,dataset/cif_files/mp-867163.cif,"[38, 38, 47, 78]","[0.95, 0.95, 1.93, 2.28]","[2, 2, 11, 10]","[5, 5, 5, 6]","[2.0, 2.0, 1.6, 1.35]",-0.53065464
mp-1097189,Sr2AgSn,dataset/cif_files/mp-1097189.cif,"[38, 38, 47, 50]","[0.95, 0.95, 1.93, 1.96]","[2, 2, 11, 14]","[5, 5, 5, 5]","[2.0, 2.0, 1.6, 1.45]",0.973718495
mp-867193,Sr2BiAu,dataset/cif_files/mp-867193.cif,"[38, 38, 83, 79]","[0.95, 0.95, 2.02, 2.54]","[2, 2, 15, 11]","[5, 5, 6, 6]","[2.0, 2.0, 1.6, 1.35]",-0.954974774
mp-1187134,Sr2CaEu,dataset/cif_files/mp-1187134.cif,"[38, 38, 20, 63]","[0.95, 0.95, 1, 1.2]","[2, 2, 2, 3]","[5, 5, 4, 6]","[2.0, 2.0, 1.8, 1.85]",0.031589899
mp-1096465,Sr2CdAg,dataset/cif_files/mp-1096465.cif,"[38, 38, 48, 47]","[0.95, 0.95, 1.69, 1.93]","[2, 2, 12, 11]","[5, 5, 5, 5]","[2.0, 2.0, 1.55, 1.6]",0.978993092
mp-1096106,Sr2CdGa,dataset/cif_files/mp-1096106.cif,"[38, 38, 48, 31]","[0.95, 0.95, 1.69, 1.81]","[2, 2, 12, 13]","[5, 5, 5, 4]","[2.0, 2.0, 1.55, 1.3]",1.130224406
mp-1187072,Sr2CdGa,dataset/cif_files/mp-1187072.cif,"[38, 38, 48, 31]","[0.95, 0.95, 1.69, 1.81]","[2, 2, 12, 13]","[5, 5, 5, 4]","[2.0, 2.0, 1.55, 1.3]",-0.337521924
mp-1096352,Sr2CdHg,dataset/cif_files/mp-1096352.cif,"[38, 38, 48, 80]","[0.95, 0.95, 1.69, 2]","[2, 2, 12, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.5]",0.857857852
mp-1187079,Sr2CdHg,dataset/cif_files/mp-1187079.cif,"[38, 38, 48, 80]","[0.95, 0.95, 1.69, 2]","[2, 2, 12, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.5]",-0.406185551
mp-862720,Sr2CdIn,dataset/cif_files/mp-862720.cif,"[38, 38, 48, 49]","[0.95, 0.95, 1.69, 1.78]","[2, 2, 12, 13]","[5, 5, 5, 5]","[2.0, 2.0, 1.55, 1.55]",-0.379173487
mp-862721,Sr2CdPb,dataset/cif_files/mp-862721.cif,"[38, 38, 48, 82]","[0.95, 0.95, 1.69, 2.33]","[2, 2, 12, 14]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.8]",-0.48391351
mp-867149,Sr2CdSn,dataset/cif_files/mp-867149.cif,"[38, 38, 48, 50]","[0.95, 0.95, 1.69, 1.96]","[2, 2, 12, 14]","[5, 5, 5, 5]","[2.0, 2.0, 1.55, 1.45]",-0.527363121
mp-1093947,Sr2CuPd,dataset/cif_files/mp-1093947.cif,"[38, 38, 29, 46]","[0.95, 0.95, 1.9, 2.2]","[2, 2, 11, 10]","[5, 5, 4, 5]","[2.0, 2.0, 1.35, 1.4]",1.049245883
mp-1187070,Sr2CuPt,dataset/cif_files/mp-1187070.cif,"[38, 38, 29, 78]","[0.95, 0.95, 1.9, 2.28]","[2, 2, 11, 10]","[5, 5, 4, 6]","[2.0, 2.0, 1.35, 1.35]",-0.396272736
mp-1096302,Sr2GaHg,dataset/cif_files/mp-1096302.cif,"[38, 38, 31, 80]","[0.95, 0.95, 1.81, 2]","[2, 2, 13, 12]","[5, 5, 4, 6]","[2.0, 2.0, 1.3, 1.5]",0.988919162
